event_id,r_minus2,time_to_tca,max_risk_estimate,max_risk_scaling,mahalanobis_distance,miss_distance,c_position_covariance_det,c_obs_used,r_final,label,number_CDMs,mean_risk_CDMs,std_risk_CDMs
4,-7.870632404277013,4.966243912037037,-6.800244822746524,5.111281868737997,87.95445589184055,31612.0,1238425810835829.2,27.0,-27.65091683122041,non-anomalous,2,-7.919611970012694,0.06926756614254409
5,-6.189767482004916,6.790114016203704,-5.558147824226708,3.7771991893303607,2.7608191021135764,424.0,109793658.05267796,405.0,-23.054334500567865,non-anomalous,14,-5.827373834090267,2.194589932605769
8,-6.077585975854366,6.552402615740742,-5.992679047077257,1.769946488298636,42.94301394294929,6501.0,4628910643814676.0,27.0,-18.693360558975733,non-anomalous,14,-9.0365019930664,4.4896278235237626
9,-14.523748203992966,6.718595486111112,-7.051782706440028,21.257872353861057,76.85052245349438,29962.0,549804515597681.5,18.0,-14.544393887418131,non-anomalous,15,-14.563237053888164,0.11447080846061028
12,-10.27107835362714,4.117693298611111,-6.644356949779131,11.814259299999886,5.266331534286652,2037.0,52286298333244.66,15.0,-15.5320960534772,non-anomalous,7,-12.380711494915717,2.950998769854043
16,-5.543482142194739,5.516415034722222,-5.539402811102399,1.1461202605019831,59.70333113704498,31052.0,6.287558209821072e+18,18.0,-5.628932137728263,non-anomalous,8,-5.6108953944600755,0.03570417639353507
28,-15.140861702705472,6.751293784722222,-5.696803942579511,26.00486814979897,7.250137276889716,1033.0,110418692.02388038,194.0,-27.27843668164252,non-anomalous,15,-19.517186704328324,4.260017959470656
34,-7.470954829234231,6.831550069444447,-6.054285285940139,6.0888899580440405,6.47054705158502,8525.0,5536990790853269.0,29.0,-11.818728228440538,non-anomalous,15,-6.716586183204885,2.4917818483770704
37,-3.235749124561227,6.864924155092592,-3.035033625168902,0.3212944314233544,7.219795053893349,2244.0,2493809870099.246,188.0,-3.4183916339679423,non-anomalous,15,-4.242588165934463,0.668871247892658
39,-7.227018549655035,5.09995394675926,-7.014618439768003,2.349283896817345,2.5357863014247326,7777.0,2.8619811239410373e+19,17.0,-7.645507399410564,non-anomalous,1,-7.227018549655035,
40,-10.922632094715842,5.344139490740742,-4.206698646386885,21.808728814265525,15.875947475743969,2031.0,37797718665.22989,101.0,-27.742081549685945,non-anomalous,10,-13.7759003524212,5.142511254781035
44,-6.961777361631283,6.850709074074075,-6.781727146428553,2.2063013460285497,67.77402496319735,12180.0,6.773357890343182e+18,26.0,-6.711974464611638,non-anomalous,15,-6.8204155001860975,0.08725443170365821
56,-6.316682738078117,6.872755474537038,-5.808828544271441,0.1288740561038298,1.187553484343156,740.0,1764874654054671.2,27.0,-6.991399828238082,non-anomalous,12,-6.520466629214716,0.3444133971816079
58,-7.768530409569318,6.727122291666667,-6.1683221508085335,6.567344053081348,36.9464261257008,7962.0,7.503705070573686e+16,15.0,-23.48069715076457,non-anomalous,15,-14.060410048942451,8.157542073661444
59,-6.434506370131137,6.703841400462962,-4.591420874591332,0.0053705150494623,4.347371375272363,1811.0,1.2988460190911255e+18,21.0,-7.091890459607448,non-anomalous,15,-6.828238879504438,0.29874422534250744
66,-5.14605855411951,6.73835605324074,-4.394479476562531,4.112724637394911,46.3890110614996,21953.0,14984892211376.65,24.0,-5.073040511619723,non-anomalous,15,-5.068563980173013,0.052794324653743833
67,-8.929223537156563,4.9216503125,-5.707522406332216,10.81828885657927,21.632416784705416,13427.0,9152605551620030.0,26.0,-8.481617684454656,non-anomalous,9,-8.560997215710726,0.22149782966906575
68,-24.131884794672786,6.848995358796296,-7.07042782092345,44.89416409862884,10.266779534687654,24655.0,1703776193832395.5,15.0,-8.0933417823284,non-anomalous,14,-10.532735417276859,8.710223844409555
69,-9.714667772356115,4.627872222222223,-6.360912128916263,11.142352254712002,100.26117834500327,24800.0,1.615486016229769e+16,64.0,-4.907279355315902,anomalous,8,-6.563760276091173,1.7260716650267038
